#            620002
GDS        19.60       1.00   P
GDS        32.20       1.00   S
HMS        52.39       1.00   P
HWS        63.11       1.00   P
MDS        35.82       1.00   P
MEK        49.19       1.00   P
WMP        46.16       1.00   P
XJP        29.40       1.00   P
XJP        49.40       1.00   S
YZP        48.76       1.00   P
#            620003
EMS        40.61       1.00   P
GDS        20.30       1.00   P
GDS        33.30       1.00   S
HMS        53.30       1.00   P
LZZ        68.49       1.00   P
MDS        36.85       1.00   P
MEK        49.46       1.00   P
WMP        46.70       1.00   P
XJP        30.20       1.00   P
XJP        50.90       1.00   S
YZP        48.86       1.00   P
#            620004
EMS        38.56       1.00   P
GDS        56.55       1.00   P
HMS        25.80       1.00   P
HMS        42.70       1.00   S
HWS        27.00       1.00   P
HWS        45.30       1.00   S
JJS        34.35       1.00   P
LZZ         3.20       1.00   P
MDS        44.07       1.00   P
MEK        64.50       1.00   P
WMP        35.00       1.00   P
WMP        60.60       1.00   S
XJP        47.82       1.00   P
YGD        31.60       1.00   P
YGD        54.40       1.00   S
YTS        48.95       1.00   P
YZP        41.93       1.00   P
ZJG        43.89       1.00   P
#            620005
EMS        12.40       1.00   P
GDS        34.21       1.00   P
HMS        17.00       1.00   P
HMS        27.60       1.00   S
HWS        22.10       1.00   P
HWS        36.70       1.00   S
JJS        38.98       1.00   P
LZZ        37.34       1.00   P
MDS        23.54       1.00   P
MEK        55.26       1.00   P
WMP         4.70       1.00   P
WMP         6.70       1.00   S
XJP        17.70       1.00   P
XJP        29.40       1.00   S
YGD        24.20       1.00   P
YGD        39.40       1.00   S
YTS        61.59       1.00   P
YZP        34.59       1.00   P
YZP        57.60       1.00   S
ZJG        48.66       1.00   P
#            620006
EMS        41.72       1.00   P
GDS        20.80       1.00   P
GDS        34.30       1.00   S
HMS        53.95       1.00   P
HWS        58.06       1.00   P
LZZ        70.84       1.00   P
MDS        37.21       1.00   P
MEK        50.30       1.00   P
WMP        46.99       1.00   P
XJP        31.00       1.00   P
XJP        52.70       1.00   S
YGD        52.89       1.00   P
YZP        49.75       1.00   P
ZJG        66.16       1.00   P
#            620007
EMS        17.42       1.00   P
GDS        21.00       1.00   P
GDS        34.70       1.00   S
HMS        26.33       1.00   P
HMS        44.90       1.00   S
HWS        39.81       1.00   P
JJS        29.03       1.00   P
LZZ        42.97       1.00   P
MDS         9.28       1.00   P
